,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Beaverhead,72,82,86,82,79,82,76,78,70,69,61,65,74,67,71,81,60,70
Big Horn,60,53,58,63,69,73,79,87,69,86,77,78,84,76,68,64,58,53
Blaine,39,49,45,51,30,34,34,30,33,29,39,33,35,36,42,44,39,42
Broadwater,36,29,24,35,35,31,28,33,35,31,28,34,30,29,36,31,34,33
Carbon,82,89,83,84,78,97,103,96,94,105,91,87,77,89,82,90,67,75
Carter,7,8,10,7,9,10,12,13,17,15,24,21,25,21,20,17,13,10
Cascade,585,586,616,612,617,609,568,565,548,551,520,553,567,565,564,567,566,551
Choteau,33,56,45,49,63,68,72,72,63,58,62,62,72,65,63,72,63,71
Custer,83,85,92,73,80,90,81,74,77,58,51,51,69,90,101,98,103,95
Daniels,9,9,12,12,13,8,9,11,9,15,17,18,19,19,19,22,21,25
Dawson,54,53,48,50,53,55,57,50,50,43,51,53,62,62,62,62,53,40
Deer Lodge,47,47,50,55,51,52,49,43,37,38,44,47,52,55,50,49,52,56
Fallon,13,20,13,10,5,8,15,12,12,14,14,15,22,25,29,35,24,21
Fergus,112,100,95,93,87,91,84,95,97,103,121,130,140,148,140,120,114,120
Flathead,694,704,681,631,613,631,602,596,584,544,507,527,476,455,451,464,474,445
Gallatin,2377,2359,2441,2521,2603,2736,2712,2782,2590,2383,2202,2098,2178,2220,2221,2493,2467,2694
Garfield,13,14,9,7,10,7,5,6,5,7,10,10,9,11,9,10,9,7
Glacier,63,57,55,68,64,67,73,74,64,86,79,62,69,66,68,74,73,69
Golden Valley,13,13,8,7,6,4,4,4,5,3,5,3,8,7,7,7,10,9
Granite,10,18,20,20,21,21,15,17,19,18,16,11,13,12,8,9,11,11
Hill,105,108,97,89,81,80,92,118,104,113,117,128,135,125,120,124,98,97
Jefferson,127,132,148,141,152,131,116,125,114,84,89,84,99,93,109,110,107,111
Judith Basin,19,25,25,23,29,31,25,24,26,20,22,16,19,18,27,30,25,26
Lake,130,121,121,117,118,112,110,110,119,121,109,118,125,110,116,121,94,102
Lewis & Clark,598,607,603,592,620,616,568,560,544,473,490,483,492,488,499,468,476,429
Liberty,7,13,19,20,20,20,22,19,20,19,15,20,19,31,24,19,24,22
,,,,,,,,,,,,,,,,,,
Lincoln,52,67,69,69,72,73,92,70,71,62,77,78,79,74,89,89,92,76
Madison,78,89,97,81,79,83,86,76,76,71,78,82,88,102,104,97,91,95
McCone,14,17,14,16,13,12,15,14,14,14,11,11,15,16,16,18,18,16
Meagher,9,9,13,13,16,13,17,20,20,25,20,19,13,13,16,19,18,23
Mineral,8,7,10,6,7,10,14,15,15,17,16,21,15,16,15,8,14,6
Missoula,636,632,593,552,557,530,490,446,432,378,351,376,411,427,396,345,335,327
Musselshell,26,20,25,26,24,25,23,22,22,19,20,24,31,34,44,43,35,40
Park,287,263,272,284,317,311,292,332,318,283,276,270,269,300,304,321,291,276
Petroleum,3,5,3,4,5,4,2,6,3,5,6,1,1,3,6,5,8,8
Phillips,23,23,18,18,21,24,27,34,34,41,49,50,45,41,36,25,34,25
Pondera,50,52,55,45,56,65,67,66,66,72,54,49,56,66,55,64,64,70
Powder River,9,12,12,11,11,6,8,11,13,13,12,12,9,12,12,10,6,6
Powell,20,25,29,18,29,27,37,36,35,35,43,47,46,52,53,41,27,29
Prairie,5,6,7,9,10,15,12,11,12,17,13,14,14,11,10,15,17,14
Ravalli,252,270,245,226,211,230,209,198,203,175,156,164,175,195,174,169,165,154
Richland,63,71,48,43,52,55,61,68,75,72,83,71,59,56,61,60,65,60
Roosevelt,59,60,43,43,55,44,48,43,43,45,60,55,53,69,75,75,78,67
Rosebud,63,63,63,60,62,55,72,67,69,70,65,69,72,74,70,73,81,78
Sanders,49,51,47,45,50,46,40,44,49,34,39,38,41,42,49,52,45,38
Sheridan,32,32,27,29,27,22,27,31,35,38,39,38,38,36,32,33,31,30
Silver Bow,139,154,172,160,164,167,152,143,150,148,166,167,174,157,161,174,167,186
Stillwater,67,61,81,75,72,67,81,73,77,81,88,69,66,65,63,70,74,54
Sweet Grass,36,38,33,37,52,55,51,57,52,42,47,54,57,61,61,59,44,42
Teton,61,75,64,77,73,74,67,75,70,68,72,64,67,67,68,58,63,65
Toole,36,33,29,23,33,33,33,45,46,44,43,47,51,50,52,55,41,46
Treasure,5,6,6,7,9,12,10,11,9,8,10,8,6,12,13,8,5,9
Valley,53,59,52,53,48,47,60,50,47,49,47,52,51,55,48,63,54,60
Wheatland,18,16,16,17,18,21,15,23,16,24,27,28,31,29,26,20,22,21
Wibaux,13,17,18,12,10,7,5,5,3,5,4,2,3,7,9,10,10,7
Yellowstone,1124,1173,1193,1080,1086,1127,1039,1026,999,986,967,979,957,935,929,971,899,866
Unspecified,0,0,2,0,1,0,0,0,0,0,0,86,101,149,47,0,224,162
Total Montana,8678,8843,8860,8651,8846,9024,8763,8812,8479,8027,7800,7852,8064,8209,8100,8331,8253,8240
"Updated August 22, 2019",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
